ID	Reference	Title	Year	Authors	doi	Experimental_Setup	Preprocessing_reported	Inclusion_1	Reason_exclusion_1	Open_data_1	Screening_1	Notes_1	Inclusion_2	Reason_exclusion_2	Open_data_2	Screening_2	Notes_2	Inclusion_final	Reason_final
67	"Magen, H., & Cohen, A. (2005). Location specificity in response selection
 processes for visual stimuli. Psychonomic Bulletin & Review, 12(3), 541-548."		2005					0	Uses psychological refractory paradigm with Simon task		ME		0	no SDs		LD_HP		0	No Simon task
68	"Simon, J. R., Craft, J. L., & Webster, J. B. (1973). Reactions toward the stimulus 
 source: analysis of correct responses and errors over a five-day period. Journal of Experimental Psychology, 101(1), 175."		1973					0	auditory Simon task		HL		0	no means to work with		EB		0	Auditory Simon task
69	"Bowers, D., Heilman, K. M., & Van Den Abell, T. (1981). Hemispace-VHF 
 compatibility. Neuropsychologia, 19(6), 757-765."		1981					0	"go/ no go task manipulating visual
fields"		HL		0	but no SDs		EB		0	No Simon task
70	"O'Leary, M. J., & Barber, P. J. (1993). Interference effects in the Stroop and 
 Simon paradigms. Journal of Experimental Psychology: Human Perception and Performance, 19(4), 830."		1993					1			HL		1			EB		1	
71	"Miller, J. (1983). Can response preparation begin before stimulus recognition 
 finishes?. Journal of Experimental Psychology: Human Perception and Performance, 9(2), 161."		1983					0	"Craft & Simon (1970) only cited in
introduction"		HL		0	no simon task		EB		0	No Simon task
72	"Aisenberg, D., Sapir, A., d'Avossa, G., & Henik, A. (2014). Long trial durations
 normalise the interference effect and sequential updating during healthy aging. Acta Psychologica, 153, 169-178."		2014					1	"means in online Supplementary,
additional data from elderly"		HL		1			EB		1	
73	"Olson, G. M., & Laxar, K. (1973). Asymmetries in processing the terms"" right"" 
 and"" left."". Journal of Experimental Psychology, 100(2), 284."		1973	Olson, G. M., & Laxar, K.	https://doi.org/10.1037/h0035453	"Exp1. 2 keys for true and false responses and a start
 button centered above the keys. The Ss initiated
 each trial by pressing the start button with one
 of their middle lingers while their forefingers were
 positioned on the 2 response keys. The position
 on the true key was counterbalanced across S's.
 One second after they pushed the start button 1 of
 the 4 displays flashed on and they responded true
 or false as quickly as possible. 
 A fixation point was used to direct .'s to look at the word first.
 On each trial S was informed of his time and told
 whether or not he was correct. 
 Exp2. the mapping of true and false responses into the displays
 was reversed. 
 Exp3. In place of right and left, in the center of the boxes were arrows pointing
 in the direction indicated by the term it replaced.
 The Ss were asked to respond true when the arrow pointed to the side of the box on which the dot appeared and false if it did not. No mention of right and
 left was made in the instructions."	no	0	not really a Simon task	no	EP		0	response options were not location based (true vs false)		LS_LW		0	No Simon task
74	"Alluisi, E. A., & Warm, J. S. (1990). Things that go together: A review of 
 stimulus-response compatibility and related effects. Advances in psychology, 65, 3-30."		1990	Alluisi, E. A., & Warm, J. S.	https://doi.org/10.1016/S0166-4115(08)61217-0			0	Book chapter 		EP	no access	0	review/book chapter		LS_LW	no access	0	Book chapter without empirical data
75	"Cho, D. T., & Proctor, R. W. (2011). Correspondence effects for objects with 
 opposing left and right protrusions. Journal of Experimental Psychology: Human Perception and Performance, 37(3), 737."		2011	Cho, D. T., & Proctor, R. W.	https://doi.org/10.1037/a0021934	"Experiments 1–3 examined this effect for variants of teapot stimuli that were oriented to the left or right. Whether keypress responses were made with fingers within the same hand or between different hands was also manipulated. In Experiments 2 and 3, teapots with the handle or spout removed showed separate contributions of each component to the Simon effect. In Experiment 4, we clarified a discrepancy between our findings of object-based Simon effects and a previously reported absence of effect with color judgments for
 door-handle stimuli."	yes	1		no	EP	object-based Simon effect (variation of the task)	1	Objects as stimuli, manipulation between and within hands		EB		1	
76	"Simon, J. R., & Sudalaimuthu, P. (1979). Effects of SR mapping and response 
 modality on performance in a Stroop task. Journal of Experimental Psychology: Human Perception and Performance, 5(1), 176."		1979	Simon, J. R., & Sudalaimuthu, P.	https://doi.org/10.1037/0096-1523.5.1.176	"choice reaction time task in which the stimulus was the word Red or Green printed in either red or green ink. Subjects responded verbally in one block of trials and by key pressing in another block.
 For one group, ink color was the relevant cue, and for another group, the word was the relevant cue. Half of the subjects in each group were instructed to make the response that corresponded to the relevant cue (compatible S-R [stimulus-response] mapping); the other half were instructed to make the response that did not correspond (incompatible S-R mapping)."	yes	0	stroop effect, verbal response in half of the trials		EP	mostly about stroop effect, self-citation about the Simon effect only in intro. Not relevant	0	no Simon task		LS_LW		0	No Simon task
77	"Rosenbaum, D. A. (1988). Successive approximations to a model of human motor
 programming. In Psychology of learning and motivation (Vol. 21, pp. 153-182). Academic Press."		1988	Rosenbaum, D. A.	https://doi.org/10.1016/S0079-7421(08)60028-6			0	Book chapter		EP	no access	0	review/theoretical paper		LS_LW		0	Review
78	"Wühr, P., & Ansorge, U. (2005). Exploring trial-by-trial modulations of the Simon
 effect. The Quarterly Journal of Experimental Psychology Section A, 58(4), 705-731."		2005					1			ME		1			LD_HP		1	
79	"Langton, S. R., O'Malley, C., & Bruce, V. (1996). Actions speak no louder than 
 words: Symmetrical cross-modal interference effects in the processing of verbal and gestural information. Journal of Experimental Psychology: Human Perception and Performance, 22(6), 1357."		1996	Langton, S. R., O'Malley, C., & Bruce, V.	https://doi.org/10.1037/0096-1523.22.6.1357	"Stroop-type paradigm is adopted to investigate any mutual influence of verbal information
 and deictic gestures, which together form two of the components of an utterance. Verbal attributes were paired with either congruent or incongruent nonverbal attributes, with a
 manual response required to both dimensions presented in separate blocks. Experiments 1, 2, and 3 made use of static directional (deictic) gestures with their auditory and visual
 (written) verbal equivalents, respectively. Experiment 4 investigated the ""linguistic"" status of the deictic gestures used in Experiments 1-3 by replacing them with arrows. Finally,
 in Experiment 5, the response mode was changed from manual to verbal to assess the contribution of stimulusresponse mechanisms to the effects."	yes	0	Stroop-Task, no Simon effect	no	EP	strop task but simon effect???	0	no simon task		LD_HP		0	No Simon task
80	"Kuhbandner, C., Pekrun, R., & Maier, M. A. (2010). The role of positive and 
 negative affect in the “mirroring” of other persons' actions. Cognition and Emotion, 24(7), 1182-1190."		2010	Kuhbandner, C., Pekrun, R., & Maier, M. A.	https://doi.org/10.1080/02699930903119196			0	go/no-go variant of Simon task + emotion induction + social condition (presence of another person)		EP	else, it is a good experiment. the question is, what are our inclusion criteria at the end	0	joint simon task		EB		0	Joint Simon task
81	"Cavina-Pratesi, C., Bricolo, E., Prior, M., & Marzi, C. A. (2001). Redundancy gain 
 in the stop-signal paradigm: implications for the locus of coactivation in simple reaction time. Journal of Experimental Psychology: Human Perception and Performance, 27(4), 932."		2001	Cavina-Pratesi, C., Bricolo, E., Prior, M., & Marzi, C. A.	https://doi.org/10.1037/0096-1523.27.4.932			0	too small sample per experiment (n = 12 p/experiment) + not a simon paradigm (but the stop-signal paradigm)		EP		0	no simon task		LD_HP		0	No Simon task
82	"Callan, J., Klisz, D., & Parsons, O. A. (1974). Strength of auditory 
 stimulus-response compatability as a function of task complexity. Journal of Experimental Psychology, 102(6), 1039."		1974	Callan, J., Klisz, D., & Parsons, O. A.	https://doi.org/10.1037/h0036329	"Procedure. The Ss were instructed to respond by depressing the key with their index finger. Each S performed under two RT conditions: a choice (Donders' b) and a go-no go (Donders' c). Half of the Ss received the b RT condition first, and the others received the c RT condition first. Each S received eight practice trials before each condition. In the b RT condition there were two blocks of trials. The Ss responded on one block of trials with arms uncrossed, so that their left index finger was on the left key and their right index finger was on the right key. On the other block of trials Ss responded with their arms crossed, so that their left index finger was on the right key and their right index finger was on the left key. Each block consisted of the same random sequence of 76 trials.
 Either a low pitched (200-Hz.) or a high pitched (500-Hz.) tone was presented monaurally on each trial. Half of the Ss were told to respond with their
 right index finger when they heard the high-pitched tone and with their left index finger when they heard the low-pitched tone; the other half of the Ss were given the opposite hand—tone rule. Each S used the same hand-tone rule throughout the entire experiment. Within the b RT condition the crossed and uncrossed trial blocks were counterbalanced. In the crossed block, half of the Ss performed the
 task with the left arm over the right and the other half performed the task with the right arm over the left. In the c RT condition there were four blocks of
 trials. Each block consisted of the same random sequence of tones that was used in the b RT condition. On each block of trials S was instructed to respond when he heard one tone, not to respond when he heard the other tone, and to place only one index finger on one response key. Every S performed one block of trials with each of the possible combinations of index finger and key positions:
 right-on-right, right-on-left, left-on-left, and left-onright. The nonresponding arm was placed on the armrest alongside S out of the way of the responding hand. The order of presentation of the blocks of trials within the c RT condition was randomized.
Eight blocks of trials were presented. Six consisted of single-hand responses with each hand performing in turn on each response key. Two blocks of trials consisted of two-hand responding (crossed and uncrossed) in conjunction with another experiment. During two-hand responding trials, the S's task was to respond with both index fingers simultaneously while E recorded RT in milliseconds to the first key depressed. Half of the Ss received the two-hand block followed by the single-hand block, and the other half of the Ss received the trial blocks in the reverse order. The order of singlehand trial block presentation was randomized across all Ss. 
 The Ss were given 21 practice trials randomly presented so that there were 7 each in the right ear, the left ear, and binaurally. Practice responses were on a randomly chosen single-hand response key. Each trial block consisted of 63 randomly presented stimuli, 21 each to the right, left, and both ears. In between trial blocks, S was told that he had performed very well and then told which handresponse key condition would follow. The Ss were exhorted at the beginning of the experiment and
 between each trial block to respond as rapidly as possible. Further, they were told that the tone would appear sometimes in the right ear, sometimes in the left, and sometimes in both. Regardless of where the tone appeared, they were to respond as
 rapidly as possible with the assigned hand-key condition."	no	0	Donders paradigm (Arms crossed as condition) 	no	EP	Simon effect in Donders paradigm	0	auditory Simon task		LS_LW		0	Auditory Simon task
